Nationality,Listening,Reading,Writing,Speaking,Overall
Bangladesh,6.4,5.94,5.85,6.25,6.18
Brazil,7.09,7.21,6.13,6.9,6.9
Canada,7.27,6.85,6.29,7.21,6.96
China (People's Republic of),6.04,6.27,5.76,5.55,5.97
Colombia,6.7,6.88,5.98,6.59,6.6
Egypt,6.95,6.5,6,6.65,6.59
France,6.99,7.06,6.13,6.61,6.76
Ghana,7.08,6.39,6.39,7.13,6.81
Greece,7.65,7.46,6.42,6.91,7.17
Hong Kong,7.05,6.9,6.17,6.35,6.68
India,6.62,6.08,6,6.25,6.3
Indonesia,7.03,6.96,6.1,6.44,6.7
"Iran, Islamic Republic of",6.71,6.41,6.05,6.64,6.52
Italy,7.14,7.44,6.16,6.62,6.9
Japan,5.98,6.12,5.7,5.53,5.9
Jordan,6.64,6.21,5.83,6.6,6.39
Kazakhstan,6.42,6.34,5.81,6.06,6.22
Kenya,7,6.5,6.36,7.08,6.79
"Korea, Republic of",6.46,6.4,5.86,5.87,6.21
Kuwait,5.57,5.16,5.13,5.82,5.48
Lebanon,7.27,6.8,6.25,6.89,6.86
Malaysia,7.56,7.31,6.42,6.85,7.1
Mexico,6.88,6.88,6.02,6.57,6.65
Nepal,6.74,6.15,5.92,6.02,6.27
Nigeria,6.96,6.44,6.32,7.08,6.76
Oman,5.08,4.84,5.25,5.51,5.24
Pakistan,6.53,6.08,5.91,6.3,6.27
Philippines,7.27,6.75,6.26,6.87,6.85
Qatar,5.65,5.02,5.12,5.84,5.47
Russian Federation,7.05,7.09,6.16,6.7,6.81
Saudi Arabia,5.84,5.49,5.34,6.09,5.75
Spain,7.42,7.44,6.26,6.82,7.05
Sri Lanka,6.86,6.35,6.01,6.63,6.53
Taiwan,6.57,6.53,5.87,6.12,6.34
Thailand,6.29,6.11,5.66,5.78,6.03
Turkey,6.86,6.72,6,6.37,6.55
Ukraine,6.88,6.8,6.02,6.58,6.64
United Arab Emirates,5.27,4.89,4.99,5.61,5.25
Uzbekistan,5.92,5.67,5.62,5.61,5.77
Vietnam,6.48,6.52,6.02,5.83,6.28
